party,target,period,n,median_d1,q25,q75,replicate
FRVS,P2,20,1,-0.6968458626303543,-0.6968458626303543,-0.6968458626303543,100
FRVS,P3,24,1,-0.6308245313472114,-0.6308245313472114,-0.6308245313472114,100
IND,P1,17,13,-0.5999866457316017,-0.8497595497335936,-0.1912432699627389,100
IND,P2,20,11,-0.5769130485974281,-0.6582644324466221,-0.11543042010087261,100
IND,P3,24,11,-0.7515766265244648,-0.8134538532528934,-0.031104449002693105,100
LIBERAL,P1,17,2,-0.6958684964487636,-0.706478125821973,-0.6852588670755542,100
LIBERAL,P2,20,2,-0.6526147992275106,-0.6653797788567293,-0.639849819598292,100
LIBERAL,P3,24,2,-0.5949432029325059,-0.6105819829030703,-0.5793044229619416,100
PC,P1,17,8,-0.8484425167156022,-0.875220692374457,-0.8353449367568132,100
PC,P2,20,8,-0.8714321391577278,-0.8894031788730518,-0.8572407334873655,100
